[Thu Mar 17 11:56:50.743100 2016] [:error] [pid 4540:tid 1660] [client 127.0.0.1:56623] script 'D:/@thesis/mathbox/admin/login.php' not found or unable to stat, referer: http://cai-misv.com/admin/index.php
[Fri Apr 15 08:42:33.466900 2016] [:error] [pid 5060:tid 1684] [client 127.0.0.1:49539] script 'D:/mathbox/teacher/studentmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/teacher/teacherhome.php
[Fri Apr 15 08:45:37.663500 2016] [:error] [pid 5060:tid 1688] [client 127.0.0.1:49571] script 'D:/mathbox/teacher/teacherarchive.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentarchive.php
[Fri Apr 15 08:45:39.511900 2016] [:error] [pid 5060:tid 1688] [client 127.0.0.1:49571] script 'D:/mathbox/teacher/sectionarchive.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentarchive.php
[Fri Apr 15 08:46:50.828500 2016] [:error] [pid 5060:tid 1688] [client 127.0.0.1:49592] script 'D:/mathbox/teacher/dashboard.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentmaintenance.php
[Fri Apr 15 08:47:29.249500 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:49603] script 'D:/mathbox/teacher/teacherarchive.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentarchive.php
[Fri Apr 15 08:51:09.474300 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:49654] script 'D:/mathbox/teacher/lessonmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentmaintenance.php
[Fri Apr 15 08:51:11.868900 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:49654] script 'D:/mathbox/teacher/quizmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentmaintenance.php
[Fri Apr 15 08:51:38.991400 2016] [:error] [pid 5060:tid 1672] [client 127.0.0.1:49666] script 'D:/mathbox/teacher/lessonmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentmaintenance.php
[Fri Apr 15 08:51:44.440000 2016] [:error] [pid 5060:tid 1672] [client 127.0.0.1:49666] script 'D:/mathbox/teacher/lessonmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/teacher/quizmaintenance.php
[Fri Apr 15 09:29:52.488600 2016] [:error] [pid 5060:tid 1688] [client 127.0.0.1:50292] script 'D:/mathbox/admin/lessonarchive.php' not found or unable to stat, referer: http://cai-misv.com/admin/contentapproval.php
[Fri Apr 15 09:32:01.602600 2016] [:error] [pid 5060:tid 1688] [client 127.0.0.1:50369] script 'D:/mathbox/admin/lessonmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/admin/lessonarchive.php
[Fri Apr 15 09:32:04.043600 2016] [:error] [pid 5060:tid 1688] [client 127.0.0.1:50369] script 'D:/mathbox/admin/lessonmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/admin/lessonarchive.php
[Fri Apr 15 09:34:57.720600 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:50407] script 'D:/mathbox/admin/quizmaintenance.php' not found or unable to stat, referer: http://cai-misv.com/admin/lessonmaintenance.php
[Fri Apr 15 09:45:59.261600 2016] [:error] [pid 5060:tid 1688] [client 127.0.0.1:50734] script 'D:/mathbox/teacher/archive.php' not found or unable to stat, referer: http://cai-misv.com/teacher/addquiz.php
[Fri Apr 15 09:47:05.666600 2016] [:error] [pid 5060:tid 1684] [client 127.0.0.1:50758] script 'D:/mathbox/teacher/archive.php' not found or unable to stat, referer: http://cai-misv.com/teacher/addquiz.php
[Fri Apr 15 09:55:42.732600 2016] [:error] [pid 5060:tid 1672] [client 127.0.0.1:50876] script 'D:/mathbox/teacher/archive.php' not found or unable to stat, referer: http://cai-misv.com/teacher/addstudent.php
[Fri Apr 15 10:00:43.790600 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:50977] script 'D:/mathbox/teacher/deletelesson.php' not found or unable to stat, referer: http://cai-misv.com/teacher/lessonmaintenance.php
[Fri Apr 15 10:00:46.820600 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:50977] script 'D:/mathbox/teacher/deletelesson.php' not found or unable to stat, referer: http://cai-misv.com/teacher/lessonmaintenance.php
[Fri Apr 15 10:02:20.714600 2016] [:error] [pid 5060:tid 1672] [client 127.0.0.1:50997] script 'D:/mathbox/teacher/assignsection.php' not found or unable to stat, referer: http://cai-misv.com/teacher/deletelesson.php?ID=1
[Fri Apr 15 10:08:04.707600 2016] [:error] [pid 5060:tid 1676] [client 127.0.0.1:51067] script 'D:/mathbox/teacher/editstudent.php' not found or unable to stat, referer: http://cai-misv.com/teacher/studentmaintenance.php
